Voltage (V),Average Current (mA),Maximum Current (mA),Power (mW)
3.657424547283702,-1.0398295058555775e-05,2.920072377862357e-05,-3.8030979597060716e-05
3.634567404426559,-8.805784543601992e-06,3.893429837149809e-05,-3.2005217472579003e-05
3.6117102615694163,-8.84806358382201e-06,3.893429837149809e-05,-3.195664204070862e-05
3.588853118712273,-1.0452318276614705e-05,3.893429837149809e-05,-3.7511835044801976e-05
3.5659959758551305,-8.67659858737417e-06,4.8667872964372623e-05,-3.09407156466866e-05
3.543138832997988,-1.0628696948627556e-05,3.893429837149809e-05,-3.765894890284951e-05
3.5202816901408447,-1.0285550951302402e-05,4.8667872964372623e-05,-3.6208036686880594e-05
3.497424547283702,-7.746939102989933e-06,4.8667872964372623e-05,-2.7094334985108976e-05
3.4745674044265593,-9.404737613385493e-06,3.893429837149809e-05,-3.267739475865367e-05
3.451710261569416,-9.695984152737877e-06,3.893429837149809e-05,-3.346772799601977e-05
3.4288531187122735,-7.6078784040349524e-06,4.8667872964372623e-05,-2.6086297592459e-05
3.405995975855131,-1.0069458079066808e-05,3.893429837149809e-05,-3.4296533696343485e-05
3.3831388329979877,-9.649016512434447e-06,3.893429837149809e-05,-3.264396246345579e-05
3.360281690140845,-9.468156173715522e-06,3.893429837149809e-05,-3.181567182993027e-05
3.337424547283702,-7.932452346135185e-06,4.8667872964372623e-05,-2.647396118014976e-05
3.314567404426559,-1.0057792139052766e-05,4.8667872964372623e-05,-3.3337229984601976e-05
3.2917102615694165,-7.620642336823673e-06,3.893429837149809e-05,-2.5084946579872823e-05
3.2688531187122734,-9.79700846060504e-06,3.893429837149809e-05,-3.202498166049931e-05
3.2459959758551307,-8.007180450557286e-06,3.893429837149809e-05,-2.5991275520454822e-05
3.2231388329979875,-9.205214090245617e-06,3.893429837149809e-05,-2.966968300033089e-05
3.200281690140845,-9.660743115109805e-06,3.893429837149809e-05,-3.091709930444014e-05
3.177424547283702,-7.655857874424517e-06,4.8667872964372623e-05,-2.4325910740711685e-05
3.154567404426559,-6.6909521441612675e-06,3.893429837149809e-05,-2.110705953854913e-05
3.1317102615694163,-9.144016865362072e-06,3.893429837149809e-05,-2.863641144921821e-05
3.1088531187122737,-8.472554193266927e-06,3.893429837149809e-05,-2.6339926527196636e-05
3.0859959758551305,-8.258505856309599e-06,3.893429837149809e-05,-2.548571583914745e-05
3.063138832997988,-8.44171503059632e-06,4.8667872964372623e-05,-2.5858145127322383e-05
3.0402816901408447,-8.453459208435214e-06,4.8667872964372623e-05,-2.5700897249758098e-05
3.017424547283702,-9.310784190674359e-06,4.8667872964372623e-05,-2.8094588771401827e-05
2.994567404426559,-8.559156808985229e-06,4.8667872964372623e-05,-2.5630971989562805e-05
2.971710261569416,-6.8686865341756844e-06,3.893429837149809e-05,-2.041174625711355e-05
2.9488531187122735,-9.684249045951118e-06,3.893429837149809e-05,-2.855742800153931e-05
2.9259959758551304,-7.17396149125016e-06,4.8667872964372623e-05,-2.0990982454337638e-05
2.9031388329979877,-1.0318293549117092e-05,3.893429837149809e-05,-2.995543869271446e-05
2.880281690140845,-6.420966355888095e-06,3.893429837149809e-05,-1.8494191827874863e-05
2.857424547283702,-8.6836450940775e-06,4.8667872964372623e-05,-2.481286065171674e-05
2.834567404426559,-8.833970570415322e-06,3.893429837149809e-05,-2.5040485030562772e-05
2.8117102615694165,-6.292672650951728e-06,4.8667872964372623e-05,-1.76931722653782e-05
2.7888531187122734,-6.467920406022558e-06,3.893429837149809e-05,-1.8038079995918766e-05
2.7659959758551307,-9.350714395326589e-06,4.8667872964372623e-05,-2.5864038388843985e-05
2.7431388329979876,-5.845779241740897e-06,3.893429837149809e-05,-1.6035784047152985e-05
2.720281690140845,-6.116637421999326e-06,3.893429837149809e-05,-1.663897678429507e-05
2.697424547283702,-9.158109878768776e-06,4.8667872964372623e-05,-2.4703310393712266e-05
2.674567404426559,-5.532200461877364e-06,3.893429837149809e-05,-1.4796243030090754e-05
2.6517102615694164,-7.613087775657289e-06,4.8667872964372623e-05,-2.0187702976939116e-05
2.6288531187122732,-6.805989566990706e-06,3.893429837149809e-05,-1.7891946899106713e-05
2.605995975855131,-7.387653961202295e-06,3.893429837149809e-05,-1.9252196493903398e-05
2.583138832997988,-7.559602071648871e-06,3.893429837149809e-05,-1.9527501673288236e-05
2.5602816901408447,-5.6814400662702685e-06,3.893429837149809e-05,-1.4546086975304355e-05
2.537424547283702,-4.924292137895079e-06,3.893429837149809e-05,-1.2495019748691114e-05
2.5145674044265593,-7.317205894185108e-06,3.893429837149809e-05,-1.8399607432995767e-05
2.491710261569416,-5.435967870050052e-06,3.893429837149809e-05,-1.3544856923365357e-05
2.468853118712273,-8.725924134297516e-06,3.893429837149809e-05,-2.154302501260711e-05
2.445995975855131,-4.774075409189033e-06,3.893429837149809e-05,-1.1677369239305311e-05
2.4231388329979877,-4.892599572358611e-06,3.893429837149809e-05,-1.1855448018091499e-05
2.4002816901408446,-8.559156808985244e-06,3.893429837149809e-05,-2.054438737165162e-05
2.377424547283702,-5.412496506189732e-06,3.893429837149809e-05,-1.2867802055902743e-05
